"date","trackedTime_EST","river","shift","radioID","power","status","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source","ftDischarge_cfs","ftTime_EST"
"2024-08-13","2024-08-13 04:25:00","BUFFAM","day",60,NA,"","Run","","Center",NA,"Sand,Rock","Night",-72.45837917,42.3820545,"","iPad",1.22,"2024-08-13 04:57:46"
"2024-08-13","2024-08-13 04:31:00","BUFFAM","day",18,NA,"","Run","","Center",NA,"Sand,Boulder,Rock","Night",-72.459788,42.38118733,"","iPad",1.22,"2024-08-13 04:57:46"
"2024-08-13","2024-08-13 04:32:00","BUFFAM","day",14,NA,"","Riffle","","Center",NA,"Rock,Boulder","Night",-72.46000483,42.38135683,"","iPad",1.22,"2024-08-13 04:57:46"
"2024-08-13","2024-08-13 04:34:00","HARRIS","day",20,NA,"","Run","Woody_debris","Center",NA,"Boulder","Night",-72.46033483,42.381182,"","iPad",3.16,"2024-08-13 06:51:21"
"2024-08-13","2024-08-13 04:41:00","AMETHYST","day",19,NA,"","Riffle","","Center",NA,"Rock","Night",-72.46088133,42.38149717,"","iPad",4.38,"2024-08-13"
"2024-08-13","2024-08-13 05:15:00","BUFFAM","day",60,NA,"","Run","","Center",NA,"Sand,Rock","Fully shaded",-72.45865583,42.38217833,"","iPad",1.22,"2024-08-13 04:57:46"
"2024-08-13","2024-08-13 05:19:00","BUFFAM","day",18,NA,"","Run","","Center",NA,"Rock,Boulder","Fully shaded",-72.459794,42.38125633,"","iPad",1.22,"2024-08-13 04:57:46"
"2024-08-13","2024-08-13 05:21:00","BUFFAM","day",14,NA,"","Riffle","","Right",NA,"Rock,Granule,Pebble,Sand","Fully shaded",-72.459758,42.38127417,"","iPad",1.22,"2024-08-13 04:57:46"
"2024-08-13","2024-08-13 05:24:00","HARRIS","day",20,NA,"","Riffle","","Left",NA,"Boulder,Rock","",-72.460374,42.38120933,"","iPad",3.16,"2024-08-13 06:51:21"
"2024-08-13","2024-08-13 05:29:00","AMETHYST","day",19,NA,"","Riffle","","Center",NA,"Rock","Fully shaded",-72.460876,42.38158767,"","iPad",4.38,"2024-08-13"
"2024-08-13","2024-08-13 06:07:00","BUFFAM","day",60,NA,"","Run","","Center",NA,"Rock,Sand,Boulder","Fully shaded",-72.4584545,42.38209533,"","iPad",1.22,"2024-08-13 04:57:46"
"2024-08-13","2024-08-13 06:11:00","BUFFAM","day",18,NA,"","Run","","Right",NA,"Sand,Rock","Fully shaded",-72.4599305,42.3811895,"","iPad",1.22,"2024-08-13 04:57:46"
"2024-08-13","2024-08-13 06:12:00","BUFFAM","day",14,NA,"","Riffle","","Right",NA,"Sand,Rock,Pebble","Fully shaded",-72.46010467,42.381195,"","iPad",1.22,"2024-08-13 04:57:46"
"2024-08-13","2024-08-13 06:13:00","HARRIS","day",20,NA,"","Run","Woody_debris","Center",NA,"Rock,Boulder","Fully shaded",-72.46032817,42.38116767,"","iPad",3.16,"2024-08-13 06:51:21"
"2024-08-13","2024-08-13 06:17:00","AMETHYST","day",19,NA,"","Run","","Center",NA,"Rock,Sand,Boulder","Fully shaded",-72.461083,42.3813285,"","iPad",4.38,"2024-08-13"
"2024-08-13","2024-08-13 07:07:00","BUFFAM","day",60,NA,"","Run","","Center",NA,"Rock,Sand","Fully shaded",-72.45836233,42.3821475,"","iPad",1.22,"2024-08-13 04:57:46"
"2024-08-13","2024-08-13 07:14:00","BUFFAM","day",18,NA,"","Run","","Right",NA,"Boulder,Rock,Sand","Fully shaded",-72.45992717,42.381207,"","iPad",1.22,"2024-08-13 04:57:46"
